timestamp,label,env,api_throughput_rps,api_error_rate,api_latency_p50_s,api_latency_p95_s,api_latency_p99_s,worker_tasks_ok,worker_tasks_err,worker_injected_total,worker_injected_error,worker_injected_slow,collector_cpu_cores,collector_mem_mb,collector_net_tx_bps,collector_net_rx_bps,spans_received_rps,spans_exported_rps,spans_dropped_rps,spans_refused_rps,logs_received_rps,logs_exported_rps,metrics_received_rps,metrics_exported_rps,api_cpu_cores,api_mem_mb,worker_cpu_cores,worker_mem_mb,jaeger_spans_received,jaeger_spans_saved
2026-05-08T03:39:40.766003Z,post-load,A,115.75808269993091,0.07210179076343072,0.15933075933075933,1.9586505190311403,4.272877358490565,337.64273765364754,18.055858607898756,7515.128913599918,4955.164172020409,2559.96474157951,0.004000436411244859,194.49609375,0.0,0.0,64.46157762665018,64.46157762665018,0.0,0.0,0.0,0.0,5.564243372004219,5.564243372004219,0.0,0.0,0.0,0.0,22165.724452305003,22165.724452305003
2026-05-08T03:39:45.796467Z,post-load,A,222.0787722296978,0.06992548923278474,0.15919837255333186,1.9943225190839655,4.317424242424234,335.8850804618601,17.983453041185566,7351.355749476213,4848.355403673644,2503.000345802567,0.004000436411244859,194.49609375,0.0,0.0,57.988144161181225,57.988144161181225,0.0,0.0,0.0,0.0,6.182492635560243,6.182492635560243,0.0,0.0,0.0,0.0,22165.724452305,22165.724452305
2026-05-08T03:39:50.827572Z,post-load,A,222.90284304385943,0.07259175241027302,0.1589391285307642,1.935694444444441,4.271768292682929,281.90348037967783,15.019820344037532,7346.320228909291,4846.3541313516225,2499.966097557668,0.0038185983925519145,194.49609375,0.0,0.0,49.80543331999855,49.80543331999855,0.0,0.0,0.0,0.0,5.255118740226207,5.255118740226207,0.0,0.0,0.0,0.0,22574.351236116716,22574.351236116712
2026-05-08T03:39:55.857048Z,post-load,A,331.8664533022985,0.07095890410958905,0.15859202589377666,1.966216216216212,4.302464228934818,289.1277071627298,15.438328514538213,7641.245571508483,5034.495618124185,2606.7499533843,0.003636826505191573,194.49609375,0.0,0.0,46.13314421835506,46.13314421835506,0.0,0.0,0.0,0.0,5.564344552943103,5.564344552943102,0.0,0.0,0.0,0.0,22574.351236116716,22574.351236116712
2026-05-08T03:40:00.891395Z,post-load,A,326.2257660766076,0.07098408502670851,0.15822135262847017,1.9642438070404133,4.303867623604463,345.2852831012037,18.527946470780755,7727.565515137132,5099.501644235007,2628.0638709021255,0.003818390094005127,194.49609375,0.0,0.0,42.32958161354256,42.32958161354256,0.0,0.0,0.0,0.0,6.182155390294016,6.1821553902940165,0.0,0.0,0.0,0.0,22574.351236116712,22574.351236116716
2026-05-08T03:40:05.918959Z,post-load,A,334.2001418413922,0.07264120143650017,0.1583883751651255,1.9322641509433902,4.273774509803915,378.82562601152915,20.166936407775818,8128.449573507276,5356.9249128707215,2771.5246606365517,0.00436419180622988,193.97265625,0.0,0.0,36.131871329078244,36.131871329078244,0.0,0.0,0.0,0.0,5.255214300001819,5.255214300001819,0.0,0.0,0.0,0.0,21669.64943678282,21669.64943678282
2026-05-08T03:40:10.954735Z,post-load,A,332.8663647729546,0.07300682758991452,0.1584264364480557,1.9303571428571367,4.275322061191622,352.13572636517375,18.92968195952212,8278.920282337625,5461.64642704583,2817.273855291797,0.004182350480970305,193.97265625,0.0,0.0,31.167603149491754,31.167603149491754,0.0,0.0,0.0,0.0,5.564344552943103,5.564344552943102,0.0,0.0,0.0,0.0,21669.64943678282,21669.64943678282
2026-05-08T03:40:15.986032Z,post-load,A,338.25535087559786,0.0730068275899145,0.1584264364480557,1.9303571428571402,4.275322061191636,440.05600712817994,23.548451621115415,8496.572486320458,5604.035719371046,2892.5367669494117,0.004182426534768693,193.97265625,0.0,0.0,27.531277276694794,27.531277276694794,0.0,0.0,0.0,0.0,6.182717486179808,6.182717486179809,0.0,0.0,0.0,0.0,21669.64943678282,21669.64943678282
2026-05-08T03:40:21.016259Z,post-load,A,337.5763747454175,0.07282913165266106,0.15831881533101044,1.9192211055276382,4.2685667752442935,496.53592275380504,26.676122415580164,8748.834607495806,5773.9053786042405,2974.929228891563,0.004182350480970297,193.97265625,0.0,0.0,24.130343861946066,24.130343861946066,0.0,0.0,0.0,0.0,5.2552143000018186,5.255214300001819,0.0,0.0,0.0,0.0,20695.173091432276,20695.173091432283
2026-05-08T03:40:26.049275Z,post-load,A,333.21210357870234,0.07099978170705087,0.15797747879496932,1.953446033810141,4.299523052464228,583.9288636735585,31.20397141454367,9029.545878324547,5950.875527604971,3078.670350719577,0.0043641918062298874,193.97265625,0.0,0.0,20.948120669903446,20.948120669903442,0.0,0.0,0.0,0.0,5.564344552943101,5.564344552943102,0.0,0.0,0.0,0.0,20695.173091432283,20695.173091432276
2026-05-08T03:40:31.082233Z,post-load,A,335.2243799549058,0.07257539596441744,0.15816147433084687,1.931994981179427,4.273778501628668,584.1955015728131,31.21988472098478,9091.463848743426,6003.681742827212,3087.7821059162147,0.004182122336169903,193.97265625,0.0,0.0,7.600552767473998,7.600552767473998,0.0,0.0,0.0,0.0,6.182267801294639,6.182267801294641,0.0,0.0,0.0,0.0,20695.173091432283,20695.173091432283
2026-05-08T03:40:36.110176Z,post-load,A,334.18798756205337,0.07264120143650016,0.1583883751651255,1.932264150943399,4.273774509803928,672.4432644748327,35.823392493453596,9364.225343517663,6174.672755565953,3189.5525879517095,0.004364112448630764,193.97265625,0.0,0.0,1.4728879514128819,1.4728879514128819,0.0,0.0,0.0,0.0,5.255118740226207,5.255118740226207,0.0,0.0,0.0,0.0,19214.856457063448,19214.856457063448
